Ulica,Nr,Obiekt,Nr_rej_zabytków
ALEJA HALLERA gen. Józefa ,14,Szkoła - Instytut Kształcenia Nauczycieli, Bibl. Pedagogiczna,
ALEJA HALLERA gen. Józefa ,14,budynek gosp. I w zesp. Inst.Kształcenia Nauczycieli,
ALEJA HALLERA gen. Józefa ,14,dom,
ALEJA HALLERA gen. Józefa,15 (w pobliżu),wiadukt ,
ALEJA HALLERA gen. Józefa ,15,dom,
ALEJA HALLERA gen. Józefa ,17,budynek mieszkalny,
ALEJA HALLERA gen. Józefa ,19/21/23/25/27/29/31/33/35/37/39/41/43/45/47/49/51/53/55/57/59/61/63/65/67/69/71/73/75/77/79/81/83/85/87/89/91/93/95/97/99/101/103/105,budynek mieszkalny,
ALEJA HALLERA gen. Józefa ,50/52,dom mieszkalny ( robotniczy) - zespół 9 budynków,
ALEJA HALLERA gen. Józefa ,54/56,dom mieszkalny ( robotniczy) - zespół 9 budynków,
ALEJA HALLERA gen. Józefa ,58/60,dom mieszkalny ( robotniczy) - zespół 9 budynków,
ALEJA HALLERA gen. Józefa ,62/64,dom mieszkalny ( robotniczy) - zespół 9 budynków,
ALEJA HALLERA gen. Józefa ,66/68,dom mieszkalny ( robotniczy) - zespół 9 budynków,
ALEJA HALLERA gen. Józefa ,70/72,dom mieszkalny ( robotniczy) - zespół 9 budynków,
ALEJA HALLERA gen. Józefa ,74/76,dom mieszkalny ( robotniczy) - zespół 9 budynków,
ALEJA HALLERA gen. Józefa ,78/80,dom,
ALEJA HALLERA gen. Józefa ,90/92/94/96/98/100/102,zespół domów,
ALEJA HALLERA gen. Józefa ,104/106/108/110/112/114/116/118/120,zespół domów,
ALEJA HALLERA gen. Józefa ,108,d. szkoła Heleny Lange, ob.. Wydział farmaceutyczny AMG,
ALEJA HALLERA gen. Józefa ,201,budynek oczyszczalni ścieków,
ALEJA HALLERA gen. Józefa,240 k. (działka nr 022.30/1),d. cmentarz + brama wejśćiowa,
ALEJA GRUNWALDZKA ,1,willa, ob. konsulat ChRL,
ALEJA GRUNWALDZKA ,2,bunkier,
ALEJA GRUNWALDZKA ,2,kamienica,
ALEJA GRUNWALDZKA ,3,kamienica,
ALEJA GRUNWALDZKA ,4,kamienica,
ALEJA GRUNWALDZKA ,5,dwór Uphagenów (Monplaisir)- d.Pałac Ślubów,775
ALEJA GRUNWALDZKA ,6,kamienica,
ALEJA GRUNWALDZKA ,7,kamienica,
ALEJA GRUNWALDZKA ,16,budynek Teatru Miniatura,
ALEJA GRUNWALDZKA ,18,willa, ob. Radio Gdańsk,1643
ALEJA GRUNWALDZKA ,19 (w pobliżu),drewniany szalet,
ALEJA GRUNWALDZKA ,20,kamienica,
ALEJA GRUNWALDZKA ,24,kamienica,
ALEJA GRUNWALDZKA ,26-28,kamienica,
ALEJA GRUNWALDZKA ,42,kamienica,
ALEJA GRUNWALDZKA ,44,kamienica,
ALEJA GRUNWALDZKA ,62,kamienica,
ALEJA GRUNWALDZKA ,92,kamienica,
ALEJA GRUNWALDZKA ,108,budynek poczty,1676
ALEJA GRUNWALDZKA ,116B,kamienica,
ALEJA GRUNWALDZKA ,117,kamienica,
ALEJA GRUNWALDZKA ,124,kamienica,
ALEJA GRUNWALDZKA ,127,kamienica,
ALEJA GRUNWALDZKA ,128CD,kamienica,
ALEJA GRUNWALDZKA ,129,kamienica,
ALEJA GRUNWALDZKA ,131,kamienica,
ALEJA GRUNWALDZKA ,136,kamienica,
ALEJA GRUNWALDZKA ,137,kamienica,
ALEJA GRUNWALDZKA ,138,kamienica,
ALEJA GRUNWALDZKA ,140,kamienica,
ALEJA GRUNWALDZKA ,142A,kamienica,
ALEJA GRUNWALDZKA ,165,dom,
ALEJA GRUNWALDZKA ,184,dawne koszary Strzyża Górna,
ALEJA GRUNWALDZKA ,186,dawne koszary Strzyża Górna,
ALEJA GRUNWALDZKA ,188,dawne koszary Strzyża Górna,
ALEJA GRUNWALDZKA ,190,dawne koszary Strzyża Górna,
ALEJA GRUNWALDZKA ,203,dom,
ALEJA GRUNWALDZKA ,204,kamienica,
ALEJA GRUNWALDZKA ,206,kamienica,
ALEJA GRUNWALDZKA ,207,dom,
ALEJA GRUNWALDZKA ,208,kamienica,
ALEJA GRUNWALDZKA ,210,kamienica,
ALEJA GRUNWALDZKA ,218,kamienica,
ALEJA GRUNWALDZKA ,219,pawilon handlowy,
ALEJA GRUNWALDZKA ,220,kamienica,
ALEJA GRUNWALDZKA ,220,kamienica,
ALEJA GRUNWALDZKA ,222,kamienica,
ALEJA GRUNWALDZKA ,224,kamienica,
ALEJA GRUNWALDZKA ,226,kamienica,
ALEJA GRUNWALDZKA ,228,kamienica,
ALEJA GRUNWALDZKA ,230,kamienica,
ALEJA GRUNWALDZKA ,232,kamienica,
ALEJA GRUNWALDZKA ,234,kamienica,
ALEJA GRUNWALDZKA ,236,kamienica,
ALEJA GRUNWALDZKA ,470,Hala Olivia,
ALEJA GRUNWALDZKA ,482/484,dom,
ALEJA GRUNWALDZKA ,485,kamienica,
ALEJA GRUNWALDZKA ,486,kamienica,
ALEJA GRUNWALDZKA ,488/488 A,dom,
ALEJA GRUNWALDZKA ,490,kamienica,
ALEJA GRUNWALDZKA ,492,kamienica,
ALEJA GRUNWALDZKA ,494,kamienica,
ALEJA GRUNWALDZKA ,495,kamienica,
ALEJA GRUNWALDZKA ,496,kamienica,
ALEJA GRUNWALDZKA ,498,dom,
ALEJA GRUNWALDZKA ,499,kamienica,
ALEJA GRUNWALDZKA ,500,dom,
ALEJA GRUNWALDZKA ,502,dom,
ALEJA GRUNWALDZKA ,504,kamienica,
ALEJA GRUNWALDZKA ,505,kamienica,
ALEJA GRUNWALDZKA ,515,kamienica,
ALEJA GRUNWALDZKA ,516,kamienica,
ALEJA GRUNWALDZKA ,516 A,kamienica,
ALEJA GRUNWALDZKA ,517,kamienica,
ALEJA GRUNWALDZKA ,517 (w pobliżu),kapliczka przydrożna,692
ALEJA GRUNWALDZKA ,519,kamienica,
ALEJA GRUNWALDZKA ,520,zespół młyna VI ( dom mieszkalny w zespole młyna VI, Młyn VI, założenie stawu wraz z zielenią przy zespole mlyna VI),
ALEJA GRUNWALDZKA ,521,kamienica,
ALEJA GRUNWALDZKA ,523,dom,
ALEJA GRUNWALDZKA ,528,kamienica,
ALEJA GRUNWALDZKA ,529,willa Tannenheim z ogrodem,1102
ALEJA GRUNWALDZKA ,529 A,budynek obok willi Tannenheim,
ALEJA GRUNWALDZKA ,530,kamienica,
ALEJA GRUNWALDZKA ,532,kamienica,
ALEJA GRUNWALDZKA ,533,kamienica,
ALEJA GRUNWALDZKA ,535,zespół  fabryki mydła - dom mieszkalny pracowników fabryki,1576
ALEJA GRUNWALDZKA ,537,zespół  fabryki mydła - budynek produkcyjno-mieszkalny,1576
ALEJA GRUNWALDZKA ,541,kamienica,
ALEJA GRUNWALDZKA ,547,dom,
ALEJA GRUNWALDZKA ,549,dom,
ALEJA GRUNWALDZKA ,551,dom,
ALEJA GRUNWALDZKA ,555,dom,
ALEJA GRUNWALDZKA ,559,dom,
ALEJA GRUNWALDZKA ,561,kamienica,
ALEJA GRUNWALDZKA ,563 A,kamienica,
ALEJA GRUNWALDZKA ,565,kamienica,
ALEJA GRUNWALDZKA ,567,kamienica,
ALEJA GRUNWALDZKA ,580,kamienica,
ALEJA GRUNWALDZKA ,582,kamienica,
ALEJA GRUNWALDZKA ,584,kamienica,
ALEJA GRUNWALDZKA ,586,kamienica,
ALEJA GRUNWALDZKA ,586 A,kamienica,
ALEJA GRUNWALDZKA ,590,kamienica,
ALEJA GRUNWALDZKA ,590 A,kamienica,
ALEJA GRUNWALDZKA ,596,kamienica,
ALEJA GRUNWALDZKA ,597,kamienica,
ALEJA GRUNWALDZKA ,598,kamienica,
ALEJA GRUNWALDZKA ,600,kamienica,
ALEJA GRUNWALDZKA ,601,kamienica,
ALEJA GRUNWALDZKA ,601 A,kamienica,
ALEJA GRUNWALDZKA ,602 A/B/C,kamienica,
ALEJA GRUNWALDZKA ,604 A/B,kamienica,
ALEJA GRUNWALDZKA ,606 A/B,kamienica,
ALEJA GRUNWALDZKA ,608 A/B,kamienica,
ALEJA GRUNWALDZKA ,610 A/B ,kamienica,
ALEJA GRUNWALDZKA ,612 A/B/C,kamienica,
ALEJA GRUNWALDZKA ,,Zabudowa Grunwaldzkiej Dzielnicy Mieszkaniowej,
ALEJA LEGIONÓW,01 A ,B,C,dom (Pl.Komorowskiego1),
ALEJA LEGIONÓW,06/08/10/12/14,zespół domów,
ALEJA LEGIONÓW,7,szkoła ,
ALEJA LEGIONÓW,9,budynek szkoły,
ALEJA LEGIONÓW,11 /11 A,budynek szkoły,
ALEJA LEGIONÓW,11,budynek szkoły,
ALEJA LEGIONÓW,13,kościół p.w. św. Stanisława Biskupa,
ALEJA LEGIONÓW,13,dom,
ALEJA LEGIONÓW,15/17/19/21/23/25/27/29/31,zespół domów,
ALEJA LEGIONÓW,16/18/20/22,budynek mieszkalny,
ALEJA LEGIONÓW,24/26/28/30,budynek mieszkalny,
ALEJA LEGIONÓW,32/34/36/38/40/42/44/46/48/50/52/54/56,zespół domów,
ALEJA LEGIONÓW,58 /60/62/64/66,zespół domów,
ALEJA LEGIONÓW,68 /70/72,zespół domów,
ALEJA WOJSKA POLSKIEGO,01/3/5,budynek mieszkalno-usługowy,
ALEJA WOJSKA POLSKIEGO,07,dom,
ALEJA WOJSKA POLSKIEGO,08/8A/10/14/14 A,zespół zabudowy,
ALEJA WOJSKA POLSKIEGO,15/17/19,zespół zabudowy,
ALEJA WOJSKA POLSKIEGO,16/18,zespół zabudowy,
ALEJA WOJSKA POLSKIEGO,20/22/24,zespół zabudowy,
ALEJA WOJSKA POLSKIEGO,21/23/25/27,zespół zabudowy,
ALEJA WOJSKA POLSKIEGO,26/28/30/32,zespół zabudowy,
ALEJA WOJSKA POLSKIEGO,29,kamienica,
ALEJA WOJSKA POLSKIEGO,40/42/44,zespół zabudowy,
ALEJA WOJSKA POLSKIEGO,44 A/44 B,zespół zabudowy,
ALEJA WOJSKA POLSKIEGO,46/48/50,zespół zabudowy,
ALEJA WOJSKA POLSKIEGO,52/54/56,zespół zabudowy,
ALEJA ZWYCIĘSTWA,,Wielka Aleja,411
ALEJA ZWYCIĘSTWA,08,dom,
ALEJA ZWYCIĘSTWA,16/17,Wojewódzki Sąd Administracyjny,
ALEJA ZWYCIĘSTWA,16/17,drugi budynek, Wojewódzki Sąd Administracyjny,
ALEJA ZWYCIĘSTWA,20,kamienica/ przychodnia NZOZ,
ALEJA ZWYCIĘSTWA,21,dom ( ob.Wojewódzki Sąd Administracyjny),
ALEJA ZWYCIĘSTWA,22,dom,
ALEJA ZWYCIĘSTWA,23,dom,
ALEJA ZWYCIĘSTWA,24,dom,
ALEJA ZWYCIĘSTWA,25,dom,
ALEJA ZWYCIĘSTWA,26,willa ,1636
ALEJA ZWYCIĘSTWA,27,willa,1634
ALEJA ZWYCIĘSTWA,29,dom,
ALEJA ZWYCIĘSTWA,33,dom,
ALEJA ZWYCIĘSTWA,34,dom,
ALEJA ZWYCIĘSTWA,35,dom,
ALEJA ZWYCIĘSTWA,36,dom,
ALEJA ZWYCIĘSTWA,37,dom,
ALEJA ZWYCIĘSTWA,38,dom,
ALEJA ZWYCIĘSTWA,38,dom,
ALEJA ZWYCIĘSTWA,39,dom,
ALEJA ZWYCIĘSTWA,40,dom,
ALEJA ZWYCIĘSTWA,41/42,Budynek dydaktyczny Akademii Medycznej,
ALEJA ZWYCIĘSTWA,43,dom,
ALEJA ZWYCIĘSTWA,43 A,dom,
ALEJA ZWYCIĘSTWA,44,dom,
ALEJA ZWYCIĘSTWA,45,dom,
ALEJA ZWYCIĘSTWA,46,dom,
ALEJA ZWYCIĘSTWA,46 ,budynek mieszkalno - gospodarczy na zapleczu,
ALEJA ZWYCIĘSTWA,46,ogrodzenie,
ALEJA ZWYCIĘSTWA,47,dom,
ALEJA ZWYCIĘSTWA,47,garaż,
ALEJA ZWYCIĘSTWA,47,ogrodzenie,
ALEJA ZWYCIĘSTWA,49,kamienica,
ALEJA ZWYCIĘSTWA,49 A,kamienica,
ALEJA ZWYCIĘSTWA,50,dom,
ALEJA ZWYCIĘSTWA,52,dom,
ALEJA ZWYCIĘSTWA,53,dom,
ALEJA ZWYCIĘSTWA,54,dom,
ALEJA ZWYCIĘSTWA,55,dom,
ALEJA ZWYCIĘSTWA,56,dom,
ALEJA ZWYCIĘSTWA,57,dom,
ALEJA ZWYCIĘSTWA,58,dom,
ALTANKI ,07,dom,
ALTANKI ,08,dom,
ALTANKI ,08,dom,
ALTANKI ,11,dom,
ALTANKI ,12,dom,
ALTANKI ,12,dom,
ALTANKI ,26,dom,
ALTANKI ,26,dom,
ALTANKI ,39,dom,
ALTANKI ,39,dom,
ANGIELSKA GROBLA,07 A,kamienica,
ANGIELSKA GROBLA,07 B,kamienica,
ANGIELSKA GROBLA,07 C,kamienica,
ANGIELSKA GROBLA,07 D,kamienica,
ANGIELSKA GROBLA,07 E,kamienica,
ANGIELSKA GROBLA,10 B,kamienica,
ANGIELSKA GROBLA,11,kamienica,
ANGIELSKA GROBLA,12,kamienica,
ANGIELSKA GROBLA,13,kamienica,
ANGIELSKA GROBLA,14,kamienica,
ANGIELSKA GROBLA,15,kamienica,
ANGIELSKA GROBLA,16,kamienica,
ANGIELSKA GROBLA,17,kamienica,
ANGIELSKA GROBLA,18,kamienica,
ANGIELSKA GROBLA,19,zespół Zakładów Mięsnych (9 obiektów: 3, 6, 12, 14, 15, 17, 18, 19, 22),1029
ANGIELSKA GROBLA,30,dom,
ARKOŃSKA,5,dom,
ARKOŃSKA,7,dom,
ARKOŃSKA,15,dom,
ARKOŃSKA,18,dom,
ARKOŃSKA,20,dom,
ARKOŃSKA,22,dom,
ARKOŃSKA,25,dom,
ARKOŃSKA,35,dom,
ARKOŃSKA,36,dom,
ARKOŃSKA,39,dom,
ARKOŃSKA,41,dom,
ARKOŃSKA,43,dom,
ARKOŃSKA,44,dom,
ARKOŃSKA,47,dom,
ARKOŃSKA,56,dom,
ARKOŃSKA,58,dom,
ARKOŃSKA,61,dom,
ARKOŃSKA,69,dom,
ASNYKA Adama,2,dom,
ASNYKA Adama,3,dom,
ASNYKA Adama,4,dom,
ASNYKA Adama,5,dom,
ASNYKA Adama,6,dom,
ASNYKA Adama,7,dom,
ASNYKA Adama,8,dom,
ASNYKA Adama,9,dom,
ASTRONAUTÓW ,14,dom,
AUGUSTYŃSKIEGO Jana,1,szkoła, d. koszary,
AUGUSTYŃSKIEGO Jana,2,Urząd Marszałkowski Województwa Pomorskiego,
AUGUSTYŃSKIEGO Jana,3,Baszta Biała,
BAJKI,13-13 A,dom,
BAJKI,16,dom,
BAJKI,20/22,dom,
BAJKI,23/25,dom,
BAJKI,24/26,dom,
BAJKI,27,dom,
BAJKI,29,dom,
BAJKI,31,dom,
BAŁTYCKA,3,dom,
BAŁTYCKA,4/4 A,dom,
BAŁTYCKA,9,dom,
BAŁTYCKA,13,dom,
BAŁTYCKA,14,dom,
BAŁTYCKA,16-17/30-31,zespół domów rybackich,1190
BAŁTYCKA,18-19/28-29,zespół domów rybackich,1190
BAŁTYCKA,20-21/26-27,zespół domów rybackich,1190
BAŁTYCKA,22/25,zespół domów rybackich,1190
BAŁTYCKA,39,dom,
BAŁTYCKA,41,dom,
BANIŃSKA ,02,dom,
BANIŃSKA ,12,dom,
BARNIEWICKA,76/76A,budynek folwarku Nowy Świat,
BARNIEWICKA,02,dom,
BARNIEWICKA,02,dom,
BARNIEWICKA,04 E,dom,
BARNIEWICKA,32,dom,
BARNIEWICKA,38,dom,
BARNIEWICKA,58,dom,
BARNIEWICKA,58,dom,
BARNIEWICKA,60,dom pracowników kolei,
BARNIEWICKA,60,przedszkole,
BARNIEWICKA,60 A,d. budynek dworca PKP Gdańsk-Osowa,
BARNIEWICKA,60 (w pobliżu),budynek spedycji kolejowej stacji Gdańsk-Osowa,
BARNIEWICKA,60 (w pobliżu),budynek toalety na stacji kolejowej Gdańsk-Osowa,
BARNIEWICKA,w  pobliżu adresu Barniewicka 42,budynek nastawni wykonawczej OS1 na stacji kolejowej Gdańsk-Osowa,
BARNIEWICKA,62,dom,
BARNIEWICKA,66,budynek gospodarczy ( d.związany z linią kolejową),
BARNIEWICKA,66,dom,
BATALIONÓW CHŁOPSKICH ,02/4,dom,
BATALIONÓW CHŁOPSKICH ,02/4,dom,
BATALIONÓW CHŁOPSKICH ,06/8,dom,
BATALIONÓW CHŁOPSKICH ,06/8,dom,
BATALIONÓW CHŁOPSKICH ,20,dom,
BATALIONÓW CHŁOPSKICH ,20,dom,
BATALIONÓW CHŁOPSKICH ,24,dom,
BATALIONÓW CHŁOPSKICH ,24,dom,
BATALIONÓW CHŁOPSKICH ,30/32,dom,
BATALIONÓW CHŁOPSKICH ,30/32,dom,
BATALIONÓW CHŁOPSKICH ,31,dom,
BATALIONÓW CHŁOPSKICH ,31,dom,
BATALIONÓW CHŁOPSKICH ,38,dom,
BATALIONÓW CHŁOPSKICH ,42/44,dom,
BATALIONÓW CHŁOPSKICH ,42/44,dom,
BATALIONÓW CHŁOPSKICH ,42/44,dom,
BATALIONÓW CHŁOPSKICH ,42/44,dom,
BATALIONÓW CHŁOPSKICH ,43,dom,
BATALIONÓW CHŁOPSKICH ,43,dom,
BATALIONÓW CHŁOPSKICH ,43,dom,
BATALIONÓW CHŁOPSKICH ,46/48,dom,
BATALIONÓW CHŁOPSKICH ,46/48,dom,
BATALIONÓW CHŁOPSKICH ,46/48,dom,
BATALIONÓW CHŁOPSKICH ,50/52,dom,
BATALIONÓW CHŁOPSKICH ,50/52,dom,
BATOREGO Stefana,2,willa,
BATOREGO Stefana,4,willa,
BATOREGO Stefana,5,willa,
BATOREGO Stefana,7/7 A,willa,
BATOREGO Stefana,8,willa,
BATOREGO Stefana,9,willa,
BATOREGO Stefana,10,willa,
BATOREGO Stefana,11,willa,
BATOREGO Stefana,13,willa,
BATOREGO Stefana,14 ,willa,
BATOREGO Stefana,14 A B,willa,
BATOREGO Stefana,15,willa, konsulat,
BATOREGO Stefana,16,willa z ogrodzeniem i działką,1742
BATOREGO Stefana,17,willa,
BATOREGO Stefana,18,willa,
BATOREGO Stefana,19,willa,
BATOREGO Stefana,20,willa,
BATOREGO Stefana,21,dom,
BATOREGO Stefana,26,d. sierociniec z działka i starodrzewem,1759
BATOREGO Stefana,29,willa,
BATOREGO Stefana,30,willa,
BATOREGO Stefana,40,willa,
BATOREGO Stefana,41,willa,
BATOREGO Stefana,43,willa,
BATOREGO Stefana,44/46/48,zespół domów ,
BATOREGO Stefana,45/47/49,zespół domów ,
BAŻYŃSKIEGO Jana,1/3,dom,
BEDNARSKA,02,dom,
BEETHOVENA Ludwika,2/2A,dom,
BEETHOVENA Ludwika,4,dom/ usł.medyczne,
BEETHOVENA Ludwika,6/6A,dom,
BEETHOVENA Ludwika,45/47,dom,
BEETHOVENA Ludwika,50/52,dom,
BEETHOVENA Ludwika,57/59,dom,
BEETHOVENA Ludwika,70/72,dom,
BEETHOVENA Ludwika,94/96,dom,
BEMA gen. Józefa,7/8,dom,
BEMA gen. Józefa,9/10,dom,
BEMA gen. Józefa,11/12,dom,
BEMA gen. Józefa,13/14,dom,
BEMA gen. Józefa,15,dom,
BEMA gen. Józefa,16/17,dom ,
BENZYNOWA,2,dom,
BENZYNOWA,12,dom,
BENZYNOWA,13,dom,
BENZYNOWA,14,dom,
BIAŁA,4,kamienica,
BIAŁA,5,kamienica,
BIAŁA,9,kamienica,
BIAŁA,11,budynek ,
BIAŁA,11,ogrodzenie,
BIAŁA,12,budynek ,
BIAŁA,12,ogrodzenie,
BIAŁA,13,budynek ,
BIAŁA,13,ogrodzenie,
BIAŁA,14,budynek ,
BIAŁA,14,ogrodzenie,
BIAŁOSTOCKA,40,dom,
BIAŁOSTOCKA,40,drugi budynek,
BIELAŃSKA,1,budynek d. Miastoprojektu, ob. UG,
BIOLOGICZNA,01,dom,
BISKUPIA,4,kamienica,
BISKUPIA,6,kamienica,
BISKUPIA,8,kamienica,
BISKUPIA,11,kamienica,
BISKUPIA,12,kamienica,
BISKUPIA,13,kamienica,
BISKUPIA,15,kamienica,
BISKUPIA,17,kamienica,
BISKUPIA,18,kamienica,
BISKUPIA,19,kamienica,
BISKUPIA,20,kamienica,
BISKUPIA,23,Laboratorium Kryminalistyczne Komendy Wojewódzkiej Policji w Gdańsku, d. schronisko młodzieżowe im. Paula Beneke,
BISKUPIA,24 A i B,Zespół Reduty Biskupiej Górki (koszary, budynek oficerski, wartownie wsch. i zach., mur z 3 bramami, korytarz podziemny z wylotem),476
BISKUPIA GÓRKA między ulicami Zakątną, Na Stoku, Pohulanką,,umocnienia Biskupiej Górki wraz z elementami strukturalnymi umocnień Biskupiej Górki ( Bastion Zbawiciela, Bastion Pośredni,Bastion Ostroróg, Bastion Vigillance,Luneta Caferellego, Luneta Delzous, Ravelin Ostroróg Pośredni),475
BISKUPIA,24 C,kamienica,
BISKUPIA,25,kamienica,
BISKUPIA,26,kamienica,
BISKUPIA,27,kamienica,
BISKUPIA,28,kamienica,
BISKUPIA,29,kamienica,
BISKUPIA,30,kamienica,
BISKUPIA,31,kamienica,
BISKUPIA,33,kamienica,
BISKUPIA,34,kamienica,
BITWY OLIWSKIEJ,4,dom,
BITWY OLIWSKIEJ,5,dom,
BITWY OLIWSKIEJ,6,dom,
BITWY OLIWSKIEJ,7,dom,
BITWY OLIWSKIEJ,8,dom,
BITWY OLIWSKIEJ,9,dom,
BITWY OLIWSKIEJ,10,dom,
BITWY OLIWSKIEJ,11,dom,
BITWY OLIWSKIEJ,12,dom,
BITWY OLIWSKIEJ,13,dom,
BITWY OLIWSKIEJ,18,dom,
BITWY OLIWSKIEJ,19,dom,
BITWY OLIWSKIEJ,20,dom,
BITWY OLIWSKIEJ,20 A,dom,
BITWY OLIWSKIEJ,20 B,dom,
BITWY OLIWSKIEJ,20 C,dom,
BITWY OLIWSKIEJ,20 D,dom,
BITWY POD LENINO,1/3/5,dom,
BITWY POD LENINO,2/4/6/8/10/12,dom,
BLISKA,3,kamienica,
BLISKA,3 A,kamienica,
BLISKA,4,kamienica,
BLISKA,5,kamienica,
BLISKA,6,kamienica,
BLISKA,7,kamienica,
BLISKA,8,kamienica,
BLISKA,9,kamienica,
BLISKA,9 A,kamienica,
BLISKA,11,kamienica,
BLISKA,11 A,kamienica,
BŁOŃSKA,2,dom,
BŁOŃSKA,4,dom,
BŁOŃSKA,6,dom,
BŁOŃSKA,8,dom,
BŁOŃSKA,10,dom,
BŁOŃSKA,11,dom,
BŁOŃSKA,13,dom,
BŁOŃSKA,14,dom,
BŁOŃSKA,16,dom,
BŁOŃSKA,23,dom,
BŁOŃSKA,24,dom,
BŁOŃSKA,26,dom,
BŁOŃSKA,30,dom,
BŁOŃSKA,32,dom,
BŁOŃSKA,35,dom,
BŁOŃSKA,37,dom,
BOBROWA,11,dom,
BOCZNA  ,03,dom,
BOCZNA  ,03,dom,
BOCZNA  ,06,dom,
BOCZNA  ,06,dom,
BOCZNA  ,06,dom,
BOCZNA  ,10,dom,
BOCZNA  ,10,dom,
BOCZNA  ,11,dom,
BOCZNA  ,11,dom,
BOGUCKIEGO Mieczysława,009,dom,
BOGUCKIEGO Mieczysława,016,dom,
BOGUCKIEGO Mieczysława,017,dom,
BOGUCKIEGO Mieczysława,017,dom,
BOGUCKIEGO Mieczysława,025,dom,
BOGUCKIEGO Mieczysława,027,dom,
BOGUCKIEGO Mieczysława,028 A,dom,
BOGUCKIEGO Mieczysława,062,dom,
BOGUCKIEGO Mieczysława,062,dom,
BOGUCKIEGO Mieczysława,062,dom,
BOGUCKIEGO Mieczysława,063,dom,
BOGUCKIEGO Mieczysława,069,dom,
BOGUCKIEGO Mieczysława,075,dom,
BOGUCKIEGO Mieczysława,079,dom,
BOGUCKIEGO Mieczysława,104,dom,
BOGUCKIEGO Mieczysława,123,dom,
BOGUCKIEGO Mieczysława,018,dom,
BOGUCKIEGO Mieczysława,022,dom,
BOGUCKIEGO Mieczysława,024,dom,
BOGUCKIEGO Mieczysława,025,dom,
BOGUCKIEGO Mieczysława,026,dom,
BOGUCKIEGO Mieczysława,027,dom,
BOGUCKIEGO Mieczysława,028 ,dom,
BOGUCKIEGO Mieczysława,028 A,dom,
BOGUCKIEGO Mieczysława,031,dom,
BOGUCKIEGO Mieczysława,039,dom,
BOGUCKIEGO Mieczysława,041,dom,
BOGUCKIEGO Mieczysława,044,dom,
BOGUCKIEGO Mieczysława,045,dom,
BOGUCKIEGO Mieczysława,045,bud. gospodarczy,
